"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HMCN1",6.18278262751348e-10,-1.13497854350512,0.367,0.534,2.26296026949621e-05
"RAB11FIP1",6.22043345612144e-10,2.33893868341099,0.531,0.351,2.27674084927501e-05
"MRPL57",6.24131715725112e-10,-0.46738508621729,0.789,0.892,2.28438449272548e-05
"KLHL23",6.27557192237082e-10,1.14697315827419,0.487,0.27,2.29692207930694e-05
"ESR2",6.29455637152351e-10,3.53488658398817,0.24,0.093,2.30387057754132e-05
"NFKB1",6.31114095489224e-10,-1.14609734681971,0.88,0.861,2.30994070090011e-05
"NSD3",6.33468817250306e-10,0.565213153883703,0.924,0.861,2.31855921801784e-05
"ACTN1-AS1",6.33577503983033e-10,2.93686787540992,0.127,0.027,2.3189570223283e-05
"LINC01535",6.33986130734711e-10,1.83857516410353,0.156,0.04,2.32045263710212e-05
"TTC9C",6.42981020914174e-10,0.52673383125698,0.771,0.549,2.35337483464797e-05
"SCO1",6.43830761746801e-10,0.616863845893035,0.811,0.711,2.35648497106946e-05
"RASA1",6.45346660815827e-10,0.869092820346019,0.898,0.774,2.36203331325201e-05
"CASTOR3",6.53560671288035e-10,0.759783841884282,0.545,0.335,2.39209741298134e-05
"PSMA1",6.54908450868785e-10,-0.322777432949288,0.898,0.91,2.39703042102484e-05
"CEP104",6.56435117411695e-10,0.637404270337318,0.749,0.547,2.40261817323855e-05
"ATRAID",6.56892492527802e-10,-0.447436262086646,0.785,0.885,2.40429221190101e-05
"ZNF23",6.5867898032434e-10,1.1884352576067,0.538,0.31,2.41083093588512e-05
"RAD9A",6.60666537794725e-10,1.41296141704696,0.676,0.484,2.41810559498247e-05
"CABLES1",6.60773556003264e-10,0.958664656097405,0.498,0.282,2.41849729232755e-05
"TMEM135",6.63152225226746e-10,0.735210565713301,0.807,0.676,2.42720345955241e-05
"PEA15",6.63309737083965e-10,0.586502736648858,0.833,0.799,2.42777996870102e-05
"MRPL28",6.72931467146431e-10,-0.467982027946164,0.76,0.826,2.46299646290265e-05
"UQCRC1",6.73246019659928e-10,-0.574654640721441,0.818,0.86,2.4641477565573e-05
"MYO16-AS1",6.81750063045905e-10,2.64527805658811,0.16,0.044,2.49527340575432e-05
"MRFAP1",6.85088890893266e-10,-0.353725803065019,0.836,0.903,2.50749384955844e-05
"IL17RC",6.89223438475124e-10,-1.18191427779481,0.487,0.59,2.5226267071628e-05
"CHST3",6.89953512956822e-10,0.996422493633463,0.647,0.42,2.52529885277326e-05
"ZNF32",6.97491417958909e-10,-0.675428997057755,0.742,0.771,2.5528883388714e-05
"TMEM18",7.17271849871097e-10,-0.620618739820761,0.785,0.83,2.6252866977132e-05
"RAD54L2",7.2241938556304e-10,0.744274292454891,0.742,0.55,2.64412719309928e-05
"APOL6",7.25536615307085e-10,0.987967044828721,0.756,0.605,2.65553656568546e-05
"CERCAM",7.33517720681122e-10,-0.55235965997262,0.76,0.819,2.68474820946497e-05
"ARAP2",7.34889613292352e-10,1.66095959500616,0.276,0.119,2.68976947361134e-05
"NBPF3",7.38291158833213e-10,0.587460058377846,0.505,0.288,2.70221947044544e-05
"RPAP1",7.47204177570136e-10,1.05901552146857,0.545,0.332,2.73484201032446e-05
"RUNDC1",7.49453434482757e-10,1.0619842947901,0.418,0.212,2.74307451555034e-05
"MTF2",7.50087370292161e-10,0.857055435932949,0.76,0.549,2.74539478400634e-05
"FXYD1",7.73418094154401e-10,0.871102747471445,0.382,0.184,2.83078756641452e-05
"ERG28",7.87825313314626e-10,0.483626880588401,0.76,0.684,2.88351942926286e-05
"ELN",7.8916424456007e-10,1.93936151883146,0.356,0.19,2.88842005151431e-05
"HADHB",7.90862817439096e-10,0.344904448775176,0.913,0.875,2.89463699810883e-05
"CACHD1",7.98404674077214e-10,1.25628684410773,0.509,0.296,2.92224094759001e-05
"PPP1R3B",8.05930053798414e-10,1.39271227761201,0.476,0.27,2.94978458990757e-05
"ZNF595",8.13309784878496e-10,1.21025127867888,0.476,0.252,2.97679514363378e-05
"GPX3",8.19599069874274e-10,1.05565837717479,0.491,0.279,2.99981455564683e-05
"TICAM1",8.20000784731465e-10,0.346020374533733,0.531,0.298,3.00128487219563e-05
"NIPAL3",8.24470996995377e-10,0.927843280754881,0.582,0.37,3.01764629610278e-05
"MRPL47",8.35532143045263e-10,-0.425833683565574,0.804,0.87,3.05813119675997e-05
"CAMK2D",8.38877640723835e-10,0.760856166148603,0.927,0.866,3.07037605281331e-05
