"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF654",5.82362486315543e-09,3.00753580814371,0.579,0.186,0.000213150493616352
"POM121",5.8809474687622e-09,1.27482983687607,0.632,0.213,0.000215248558304165
"TAF4",5.96837373907974e-09,1.22753063403551,0.447,0.085,0.000218448447224058
"CAMSAP2",6.11584279687351e-09,2.30121540172035,0.658,0.229,0.000223845962208367
"ITCH",6.16294671474884e-09,2.0319187224861,0.763,0.335,0.000225570012706522
"MARCH1",6.21681748221369e-09,2.04898344001663,0.579,0.154,0.000227541736666503
"BAZ1A",6.26047342203748e-09,1.6052417140098,0.789,0.346,0.000229139587719994
"CSF3R",6.31540719717873e-09,2.63919116696595,0.447,0.09,0.000231150218823939
"NCOA3",6.36249763774343e-09,2.39876749093946,0.711,0.293,0.000232873776039047
"HEATR5A",6.36577677518449e-09,2.21898093535307,0.658,0.229,0.000232993795748527
"POLR2J3",6.48361505070864e-09,1.88540731637527,0.711,0.293,0.000237306794470987
"GPR137B",6.50451824682508e-09,1.97741612160371,0.684,0.255,0.000238071872352045
"WNK1",6.56953444532244e-09,1.84367915943305,0.737,0.34,0.000240451530233247
"RPS13",6.62241713087057e-09,-1.6390771346283,0.816,0.872,0.000242387089406994
"TRIM14",6.69320902687512e-09,2.0795287152537,0.579,0.181,0.000244978143592656
"C12orf4",6.76353930242953e-09,1.418084638935,0.579,0.17,0.000247552302008223
"HELZ",6.76575485770292e-09,1.49925561382896,0.737,0.309,0.000247633393546785
"SP1",6.78998087883839e-09,1.72311415193648,0.553,0.165,0.000248520090146364
"RAB10",6.79197351807205e-09,1.73404170241539,0.816,0.447,0.000248593022734955
"SNCA",6.86236080872322e-09,2.05934372685378,0.5,0.112,0.000251169267960079
"PHKB",6.87450753488016e-09,2.59178978328763,0.711,0.298,0.000251613850284149
"UBAC2",6.97555674472392e-09,1.94157843708068,0.684,0.261,0.00025531235241364
"CNOT1",6.98711741000783e-09,1.82796773443102,0.711,0.309,0.000255735484323696
"CD163",6.99816945832824e-09,1.81515717853169,0.763,0.346,0.000256140000344272
"SMARCA2",7.03041781216957e-09,1.79365840613858,0.684,0.255,0.000257320322343218
"FBXW7",7.20213875708627e-09,1.56728240099514,0.737,0.298,0.000263605480648115
"SEC23B",7.31013446576344e-09,1.7199929859601,0.658,0.223,0.000267558231581408
"LIMD1",7.37077935151181e-09,2.3265658131452,0.579,0.165,0.000269777895044684
"CALD1",7.41053980727381e-09,-2.92616884293431,0.368,0.755,0.000271233167486029
"RASGEF1B",7.52669340043247e-09,1.42753087609393,0.737,0.303,0.000275484505149229
"ARRB1",7.66726141491765e-09,1.59879086406791,0.632,0.213,0.000280629435047401
"SLK",7.67509349233827e-09,1.44573698165815,0.737,0.266,0.000280916096913073
"ARFGEF2",7.68445691009727e-09,1.7713123494692,0.711,0.277,0.00028125880736647
"SLC18B1",7.71840540850865e-09,2.45299069585916,0.421,0.08,0.000282501356356825
"LRRK2",7.76323152874093e-09,2.79543477724339,0.526,0.144,0.000284142037183447
"AP1S2",7.83163795030564e-09,2.08423967795779,0.684,0.282,0.000286645780619137
"DAAM2",7.86989628097057e-09,2.21527401199593,0.526,0.133,0.000288046073779804
"AC002463.1",8.0000038799637e-09,4.12038306846655,0.395,0.064,0.000292808142010551
"FAR1",8.20055838790044e-09,1.35522429646911,0.711,0.282,0.000300148637555544
"TRAPPC9",8.25003259441081e-09,1.86875705673419,0.658,0.229,0.00030195944298803
"TUT7",8.38690599307655e-09,1.51309281643086,0.789,0.351,0.000306969146252595
"FBXL20",8.6224524665399e-09,2.74667374828193,0.658,0.245,0.000315590382727827
"DENND1B",8.63208968877655e-09,1.76301133460714,0.632,0.207,0.000315943114698911
"ADCY7",8.66057893699597e-09,1.50838325910101,0.553,0.16,0.000316985849672989
"KIF13B",8.75678655437896e-09,1.50989376947585,0.763,0.293,0.000320507144676824
"SNX29",8.7599315924416e-09,2.66433350844379,0.684,0.287,0.000320622256214955
"SGPP1",8.76427696922046e-09,3.29455116915645,0.5,0.128,0.000320781301350438
"ZNF589",8.76472946083517e-09,2.8733925108533,0.447,0.096,0.000320797862996028
"ACOT11",8.7983257467658e-09,2.38201846414148,0.474,0.101,0.000322027520657375
"DCAF5",8.80683214116555e-09,2.50941582403209,0.632,0.223,0.0003223388631988
"ZNF765",8.81381133529067e-09,2.45606532801396,0.474,0.106,0.000322594308682974
"RAP2A",8.83055147610026e-09,3.38168388759813,0.579,0.181,0.000323207014576746
"FAM49A",8.92852848432408e-09,2.73969923937632,0.579,0.16,0.000326793071054746
"EPB41",9.22235143792707e-09,1.87964333690951,0.658,0.25,0.000337547284979569
"LARP4B",9.26408657232187e-09,1.77851944813008,0.737,0.324,0.000339074832633553
"UGCG",9.40587266153312e-09,2.10096478756615,0.684,0.293,0.000344264345284774
"PRIM2",9.57700025441586e-09,1.97483214122435,0.605,0.197,0.000350527786311875
"CYTH1",9.61219970390813e-09,2.06201006357227,0.711,0.293,0.000351816121362741
"OTOA",9.68691090334936e-09,2.00732330063715,0.526,0.128,0.00035455062597349
"TENT4B",9.759766085635e-09,2.03058366819865,0.579,0.17,0.000357217198500327
"ZNF407",9.76524849110802e-09,2.18680798356526,0.684,0.255,0.000357417860023045
"RBM12B",9.77652879655674e-09,1.06612043882041,0.5,0.117,0.000357830730482773
"ITGAX",9.8209320813251e-09,2.09482875407057,0.605,0.186,0.00035945593510858
"MYO1E",9.86753978628556e-09,2.40363457515827,0.789,0.356,0.000361161823717838
"ASH1L",9.91060842544414e-09,1.86111584236316,0.763,0.378,0.000362738178979681
"AGO3",1.00223481048559e-08,2.0675225251666,0.658,0.255,0.000366827962985829
"SERTAD2",1.03134764281651e-08,2.08061810916441,0.526,0.138,0.00037748355074727
"FCGR2A",1.04559783746885e-08,2.39957036856204,0.605,0.186,0.000382699264491974
"LINC00847",1.04779267497201e-08,1.36538046929869,0.447,0.096,0.000383502596966504
"DTNBP1",1.0647306072421e-08,1.34758941365029,0.658,0.261,0.000389702049556683
"CHFR",1.06863447289962e-08,2.40875114945339,0.658,0.245,0.000391130903425989
"IWS1",1.07959761701793e-08,1.78069033756116,0.711,0.277,0.000395143523804733
"ZMIZ1-AS1",1.08418700717972e-08,2.19873773499947,0.342,0.043,0.000396823286497848
"FBXO11",1.09990511974307e-08,1.83437228816361,0.737,0.346,0.000402576272877162
"PDK4",1.1210978468473e-08,2.66302573575712,0.658,0.239,0.000410333022924581
"APBB1IP",1.12123578155976e-08,2.01519504144751,0.684,0.277,0.000410383508408687
"MGST1",1.12628748133375e-08,-2.36003901752916,0.711,0.84,0.000412232481042964
"MINDY3",1.13146871292345e-08,1.58621423250064,0.605,0.202,0.000414128863617112
"UBE2W",1.13531935867202e-08,1.65809733297858,0.684,0.266,0.000415538238467546
"PPFIBP2",1.15556730972975e-08,2.87603590597849,0.526,0.138,0.000422949191034185
"DCUN1D2",1.15868027637523e-08,2.46229392253744,0.421,0.085,0.000424088567956097
"UTRN",1.16062857845181e-08,2.0436430804317,0.763,0.34,0.000424801665999148
"PCM1",1.16120881688211e-08,1.68810745952198,0.763,0.378,0.000425014039067022
"ELF1",1.16168256799212e-08,1.77207246720172,0.816,0.399,0.000425187436710797
"DNAJC5",1.16207412738309e-08,1.59083109991412,0.684,0.271,0.000425330751363486
"ZNF91",1.16257271495865e-08,2.19096032959904,0.579,0.181,0.000425513239402016
"AEBP2",1.16927232059967e-08,2.20932400804285,0.658,0.255,0.000427965362062687
"PPP4R3A",1.16927232059967e-08,1.84249647920356,0.658,0.255,0.000427965362062687
"HNRNPLL",1.17254392514421e-08,3.0374613973149,0.579,0.191,0.000429162802042031
"TM4SF19",1.18289200668454e-08,1.48027312433289,0.5,0.117,0.000432950303366609
"PPM1L",1.19584234625533e-08,2.27085170488733,0.632,0.213,0.000437690257152913
"GAB3",1.21132018682554e-08,1.89764788052209,0.5,0.117,0.000443355301580017
"VAC14",1.22016327321663e-08,2.09859586841937,0.658,0.234,0.00044659195963002
"FNIP1",1.22102557983694e-08,2.16468318519922,0.711,0.319,0.000446907572476119
"GGA1",1.2432794097482e-08,1.72300805026775,0.605,0.213,0.000455052696761939
"APOL6",1.24425930532165e-08,1.98345058813964,0.658,0.234,0.000455411348340776
"HS2ST1",1.24429480015444e-08,1.96103065129233,0.711,0.287,0.000455424339804525
"INO80",1.24829251021606e-08,1.75035972013863,0.684,0.266,0.00045688754166418
"ABL1",1.26017284287148e-08,2.42611465929051,0.658,0.271,0.000461235862219391
"MDFIC",1.26241362368268e-08,1.87642785183129,0.711,0.282,0.000462056010404099
"TULP4",1.26982361188542e-08,1.51729521834108,0.711,0.298,0.000464768140186182
"DNM2",1.27710445755341e-08,1.51748314027233,0.684,0.255,0.000467433002509122
"AL163541.1",1.29252105207688e-08,5.34796174085652,0.263,0.021,0.000473075630270658
"KAT2B",1.29427714635622e-08,1.92748751055399,0.526,0.138,0.000473718378337839
"ATXN7L1",1.31229811308378e-08,1.70141155685972,0.553,0.16,0.000480314232369796
"PRKAG2",1.31525848188385e-08,2.23411310770716,0.737,0.346,0.000481397756954306
"DCAF10",1.34853590574825e-08,1.97530637277919,0.658,0.245,0.000493577626862918
"RLF",1.35146349447869e-08,1.65177744623469,0.658,0.218,0.000494649153614145
"CEPT1",1.35270932642965e-08,2.47935278777276,0.579,0.197,0.000495105140566515
"LPXN",1.35850143061349e-08,2.70608706540368,0.605,0.197,0.000497225108618843
"ARAP1",1.35945668997335e-08,2.27122746305188,0.605,0.202,0.000497574743097147
"POLK",1.36323732253132e-08,1.57980830544894,0.658,0.255,0.00049895849241969
"NCF2",1.37801231593582e-08,2.11895785704357,0.658,0.229,0.000504366287755669
"AC003681.1",1.38678241011134e-08,4.60928939948238,0.342,0.048,0.000507576229924851
"FYCO1",1.39144001260153e-08,4.12789507044231,0.342,0.053,0.000509280959012285
"ARHGAP35",1.39175021579675e-08,1.27832632102241,0.711,0.271,0.000509394496483767
"PPP2R5C",1.39555571426353e-08,1.3808198739969,0.789,0.34,0.000510787346977595
"TOP2B",1.4016408045042e-08,1.8945113947892,0.658,0.245,0.000513014550856583
"RAB30-DT",1.40770894656918e-08,1.11079488886716,0.658,0.223,0.000515235551533787
"CSGALNACT2",1.41810321147162e-08,2.08906026408744,0.711,0.298,0.000519039956430729
"INTS4",1.42086862341746e-08,3.76740236347666,0.447,0.101,0.000520052124857026
"SREBF2",1.42966330965785e-08,2.09925884504442,0.711,0.277,0.000523271067967868
"MERTK",1.43409327826203e-08,1.9508631492886,0.658,0.218,0.000524892480776687
"RPTOR",1.4444357810315e-08,2.06983954581907,0.605,0.197,0.000528677940215338
"MFSD4B",1.44493212801984e-08,2.48930659367289,0.605,0.202,0.000528859608176541
"AC009974.2",1.44880212616371e-08,4.90150744261355,0.263,0.021,0.00053027606619718
"MTSS1",1.44957064865526e-08,2.41490192330704,0.737,0.33,0.000530557353114313
"MAP3K14",1.45672021340389e-08,3.33894081507064,0.447,0.101,0.000533174165307958
"ALOX15B",1.50687008390883e-08,1.92260831119828,0.421,0.08,0.000551529519411472
"DRAM1",1.52557278130677e-08,1.82465278199023,0.711,0.287,0.000558374893686091
"SNTB1",1.54213628553985e-08,2.23989490992346,0.711,0.309,0.000564437301870439
"ZCWPW1",1.5478157103597e-08,2.9419644035377,0.395,0.069,0.000566516028148754
"TDRD6",1.55648450352328e-08,3.91938916503833,0.316,0.037,0.000569688893134556
