"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"ERG28",8.18088375955723e-08,0.676817638224153,0.253,0.153,0.00299428526483554,"Up_in_3D"
"ADK",8.25539455689269e-08,0.1906170760186,0.439,0.286,0.00302155696176829,"Up_in_3D"
"AC005261.1",8.28564331865329e-08,-2.74301694369206,0.061,0.141,0.00303262831106029,"Up_in_2D"
"TMED1",8.43425009802305e-08,1.20067237630301,0.148,0.071,0.00308701987837742,"Up_in_3D"
"SNRPN",8.44371337205439e-08,0.272596078669862,0.264,0.156,0.00309048353130563,"Up_in_3D"
"FAM135A",8.97012199335103e-08,-2.08110464912764,0.073,0.158,0.00328315435078641,"Up_in_2D"
"NME4",9.1100278467921e-08,0.486728919150532,0.298,0.187,0.00333436129220438,"Up_in_3D"
"AKAP12",9.23417495612636e-08,-1.32328510010765,0.236,0.339,0.00337980037569181,"Up_in_2D"
"MRPL12",9.2677729309757e-08,0.572555969484911,0.289,0.184,0.00339209757046641,"Up_in_3D"
"CA2",9.65966790326744e-08,0.615103522189434,0.17,0.085,0.00353553504927491,"Up_in_3D"
"SCAND1",9.80935499938487e-08,0.366275069635031,0.286,0.177,0.00359032202332486,"Up_in_3D"
"POLD4",9.81504825876498e-08,0.261946118234259,0.392,0.265,0.00359240581319057,"Up_in_3D"
"RACK1",1.00587174469238e-07,0.305086139001183,0.774,0.638,0.00368159117274858,"Up_in_3D"
"STMP1",1.09224995190549e-07,0.379198198274084,0.341,0.226,0.00399774404896927,"Up_in_3D"
"FKBP2",1.10492628261492e-07,0.826308821327724,0.177,0.092,0.00404414068699886,"Up_in_3D"
"PLA1A",1.14429894294896e-07,-2.80517722882783,0.055,0.131,0.00418824856108749,"Up_in_2D"
"NUPR1",1.16908222312952e-07,0.321678126110928,0.502,0.349,0.00427895784487635,"Up_in_3D"
"MRPL11",1.23568942276571e-07,0.393527649866554,0.233,0.135,0.00452274685626479,"Up_in_3D"
"RPS9",1.34636197161048e-07,0.300071000445564,0.812,0.679,0.00492781945229151,"Up_in_3D"
"SLC5A3",1.36107400827616e-07,-3.45125576083082,0.041,0.112,0.00498166697769157,"Up_in_2D"
"DYNLRB1",1.36722600983269e-07,0.286602745278985,0.355,0.229,0.00500418391858863,"Up_in_3D"
"GATD3B",1.38956126880505e-07,0.727268026284633,0.183,0.098,0.00508593319995338,"Up_in_3D"
"NAV2",1.44360959988067e-07,0.852999713034148,0.38,0.253,0.00528375549652325,"Up_in_3D"
"CHPT1",1.44800829146288e-07,0.45822659782228,0.306,0.197,0.0052998551475833,"Up_in_3D"
"IDH3G",1.4533458272211e-07,0.634612615059945,0.245,0.147,0.00531939106221197,"Up_in_3D"
"RNASEH2C",1.4766356400288e-07,0.229740362464281,0.191,0.102,0.0054046341060694,"Up_in_3D"
"YWHAZ",1.48480419579739e-07,-0.99371679883618,0.465,0.513,0.00543453183703804,"Up_in_2D"
"MVD",1.52390523915817e-07,0.769303760575139,0.221,0.129,0.00557764556584281,"Up_in_3D"
"ACTN1",1.56561277459335e-07,-1.13662234834578,0.341,0.423,0.00573029931628912,"Up_in_2D"
"MAP3K1",1.56978013671758e-07,-2.48620860796884,0.045,0.118,0.0057455522784,"Up_in_2D"
"UBC",1.57861246842762e-07,-0.537766331394296,0.621,0.657,0.00577787949569191,"Up_in_2D"
"RPS14",1.651799511982e-07,0.368515143838594,0.823,0.766,0.0060457513938053,"Up_in_3D"
"ETHE1",1.72409084703404e-07,0.845850118068432,0.255,0.158,0.00631034490922929,"Up_in_3D"
"MIEN1",1.7291708755781e-07,0.460980668805621,0.212,0.121,0.00632893832170339,"Up_in_3D"
"RWDD1",1.75233065488743e-07,0.422812741892342,0.327,0.216,0.00641370542995348,"Up_in_3D"
"CYCS",1.78972522056969e-07,0.218773961581781,0.439,0.296,0.00655057327980711,"Up_in_3D"
"PRSS3",1.85939396796133e-07,1.01703663982749,0.22,0.127,0.00680556786213525,"Up_in_3D"
"ACAT2",1.86030608345656e-07,0.391194138983658,0.336,0.222,0.00680890629605937,"Up_in_3D"
"PRAP1",1.87055846356571e-07,0.283014732738616,0.406,0.262,0.00684643103249686,"Up_in_3D"
"NDUFA13",1.88383833813197e-07,0.295424873147915,0.595,0.436,0.00689503670139682,"Up_in_3D"
"CYP4F3",1.91073041363746e-07,1.00249486516582,0.224,0.131,0.00699346438695449,"Up_in_3D"
"TST",1.95173523264011e-07,0.504718126775573,0.303,0.198,0.00714354612498608,"Up_in_3D"
"IFITM3",2.00386260724933e-07,0.416336348035826,0.747,0.602,0.00733433752879327,"Up_in_3D"
"COA8",2.04552383764408e-07,0.729887941910217,0.232,0.136,0.00748682179816109,"Up_in_3D"
"TUBA1B",2.06685306321492e-07,-1.10638086949568,0.336,0.416,0.00756488889667294,"Up_in_2D"
"PFDN6",2.07749060365033e-07,0.617147349034583,0.205,0.114,0.00760382335842056,"Up_in_3D"
"BOLA3",2.09263327047072e-07,0.230862898703417,0.3,0.187,0.00765924703324989,"Up_in_3D"
"SUCLG2-AS1",2.26436895428281e-07,-1.9869680363905,0.102,0.189,0.00828781680957053,"Up_in_2D"
"PROX1",2.26725190793144e-07,-1.72961238690557,0.161,0.252,0.00829836870821988,"Up_in_2D"
"KIAA0930",2.28058635880337e-07,-1.86164886714144,0.117,0.207,0.0083471741318562,"Up_in_2D"
"PAG1",2.31371353128761e-07,-2.18349696708307,0.058,0.134,0.00846842289586579,"Up_in_2D"
"CTSZ",2.32473251760663e-07,0.213228857330572,0.403,0.273,0.00850875348769203,"Up_in_3D"
"S100A6",2.3476239146646e-07,0.727875883518241,0.835,0.844,0.00859253829006392,"Up_in_3D"
"GTF3A",2.42353209086583e-07,0.24248540040073,0.386,0.262,0.00887036980577802,"Up_in_3D"
"ATP6V1F",2.42374928940653e-07,0.293644715663564,0.306,0.189,0.00887116477415684,"Up_in_3D"
"ALDH1A1",2.43747027237964e-07,0.448765356200399,0.87,0.777,0.00892138494393674,"Up_in_3D"
"EBP",2.50058029452767e-07,0.26147172002964,0.432,0.292,0.00915237393600074,"Up_in_3D"
"SNX10",2.50445836480918e-07,-1.32810840806434,0.273,0.354,0.00916656806103808,"Up_in_2D"
"CIRBP",2.50970236318303e-07,0.505700113490505,0.268,0.172,0.00918576161948622,"Up_in_3D"
"GTF3C6",2.53033431016381e-07,0.37917371550314,0.355,0.231,0.00926127660863058,"Up_in_3D"
"NORAD",2.60875216606484e-07,-1.71820867698894,0.127,0.222,0.00954829380301394,"Up_in_2D"
"ZDHHC12",2.61141476816276e-07,0.797735821881241,0.152,0.075,0.00955803919295251,"Up_in_3D"
"CAPZB",2.75571832546037e-07,0.174144239920513,0.444,0.311,0.0100862046430175,"Up_in_3D"
"IGFBP6",2.78772821822322e-07,0.548236893451798,0.189,0.102,0.0102033640515188,"Up_in_3D"
"PPP1R7",2.84143310732014e-07,0.538548862371298,0.268,0.172,0.0103999293161025,"Up_in_3D"
"VNN1",2.86545175472066e-07,-1.26163809834197,0.195,0.294,0.0104878399674531,"Up_in_2D"
