"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DYNLL1",8.24068948241313e-13,-0.581972669528834,0.406,0.602,3.01617475745803e-08
"MRPL41",8.67982177642576e-13,-0.591374507882002,0.26,0.433,3.17690156838959e-08
"AGXT",8.80437967179275e-13,-0.733521164077402,0.125,0.262,3.22249100367286e-08
"ETNPPL",9.02666811811671e-13,-1.74832174215854,0.062,0.167,3.3038507979119e-08
"LSM4",9.57463284792831e-13,-0.619498141630106,0.187,0.338,3.50441136867024e-08
"CSTB",1.00198086443142e-12,-0.550313104333762,0.425,0.629,3.66735016190544e-08
"COL3A1",1.02156649256547e-12,1.7097820873141,0.343,0.211,3.73903551943888e-08
"NIT2",1.03238443984316e-12,-0.880085111269218,0.203,0.345,3.77863028826996e-08
"HIGD2A",1.11434811218674e-12,-0.662172231866438,0.207,0.368,4.0786255254147e-08
"ECHDC3",1.16836742218199e-12,-1.13289960851261,0.165,0.298,4.2763416019283e-08
"ADAMTS9",1.1690027699103e-12,2.70862634127932,0.217,0.092,4.27866703814868e-08
"C18orf32",1.22276552986061e-12,-0.831752727853612,0.186,0.333,4.4754441158428e-08
"TRAPPC5",1.29256248542429e-12,-0.469371658517417,0.221,0.388,4.73090795290145e-08
"KPNB1",1.33750344206998e-12,2.07144299086927,0.329,0.194,4.89539634832034e-08
"MRPL13",1.36174918806037e-12,-0.824789023355914,0.176,0.318,4.98413820321974e-08
"CYSTM1",1.54974165265958e-12,-0.49698422638621,0.346,0.532,5.67220942289934e-08
"MRPL57",1.55294993012118e-12,-0.744635218103346,0.175,0.321,5.68395203923652e-08
"ANAPC11",1.63943491878617e-12,-0.497711726905346,0.204,0.367,6.00049574624926e-08
"FIS1",1.68549921534528e-12,-0.507019625689165,0.26,0.433,6.16909567808525e-08
"CIAO2B",1.73876203632868e-12,-0.575523060640555,0.28,0.458,6.3640429291666e-08
"RPS24",1.77291931291795e-12,-0.415942671432694,0.801,0.871,6.489061977211e-08
"SLC9A3R2",1.94729528070802e-12,-0.989934740743817,0.163,0.3,7.12729545691941e-08
"MRPL40",2.07383069000186e-12,-0.941644402630041,0.155,0.294,7.5904277084758e-08
"YBX1",2.26976403731704e-12,-0.480798607495813,0.557,0.75,8.3075633529841e-08
"CLTC",2.31304626071493e-12,1.45300259023013,0.422,0.297,8.46598061884273e-08
"GADD45GIP1",2.32011873643974e-12,-0.530707112528914,0.219,0.383,8.49186658724308e-08
"PRDX1",2.55705553063336e-12,-0.467128729194003,0.597,0.77,9.35907894767114e-08
"SNHG8",2.60572824968084e-12,-0.909716295352207,0.188,0.326,9.53722596665683e-08
"VTN",2.75056413113009e-12,-0.530209454520733,0.411,0.602,1.00673397763492e-07
"TP53I3",2.79334057403322e-12,-0.978215514641488,0.136,0.265,1.0223905835019e-07
"MGMT",2.97687051747811e-12,-0.957034956194152,0.201,0.344,1.08956437810216e-07
"PDLIM1",3.31366512097582e-12,-0.562944084016625,0.314,0.483,1.21283457092836e-07
"FTL",3.41128051181853e-12,-0.458499475474899,0.999,1,1.2485627801307e-07
"PSMC3",3.44322614649872e-12,-0.580336602001972,0.179,0.324,1.26025520188e-07
"MYL12B",3.56136864370762e-12,-0.414296196993142,0.606,0.782,1.30349653728343e-07
"RPL18",3.93708279450749e-12,-0.382518756083346,0.583,0.779,1.44101167361769e-07
"OAZ1",3.94752872870226e-12,-0.5174337691307,0.492,0.67,1.44483498999231e-07
"NDUFS4",4.21727618966337e-12,-0.81628156105066,0.227,0.368,1.54356525817869e-07
"EPHX1",4.36445028146138e-12,-0.938323555429105,0.155,0.285,1.59743244751768e-07
"ZNHIT1",4.53782792780318e-12,-0.420398754944687,0.258,0.433,1.66089039985524e-07
"LSM3",4.88987069920717e-12,-0.67861312752883,0.175,0.317,1.78974157461682e-07
"NDUFS5",4.91811007100746e-12,-0.444817147108633,0.446,0.645,1.80007746708944e-07
"PSME2",5.17049056244133e-12,-0.580689438052624,0.223,0.38,1.89245125075915e-07
"COX14",5.28536711368772e-12,-0.703219900311441,0.201,0.353,1.93449721728084e-07
"ACTR2",5.32473427662607e-12,1.62581329621503,0.407,0.283,1.94890599258791e-07
"PFDN5",6.61702012828403e-12,-0.491062905354954,0.358,0.55,2.42189553715324e-07
"UCHL1",7.24920520074335e-12,-0.889799540025322,0.109,0.236,2.65328159552407e-07
"NDUFS8",8.0522153927529e-12,-0.652566655560877,0.238,0.391,2.94719135590149e-07
"SLC25A3",8.18831881277845e-12,-0.369340987897351,0.543,0.727,2.99700656866504e-07
"TMEM141",8.41027522221875e-12,-0.851479356286843,0.135,0.265,3.07824483408428e-07
"PRDX4",8.98023363756556e-12,-0.564489736435418,0.302,0.474,3.28685531368537e-07
"RBP5",9.26740139342549e-12,-0.991527660428512,0.161,0.291,3.39196158400766e-07
"GUK1",9.36679796704004e-12,-0.502481538123407,0.332,0.514,3.42834172391633e-07
"PEBP1",9.6887963689858e-12,-0.478117086135677,0.515,0.706,3.54619635901249e-07
"FSTL1",1.03444167556914e-11,2.2603094364649,0.308,0.179,3.78615997675062e-07
"HINT2",1.109214166446e-11,-1.01565678770401,0.127,0.253,4.05983477060901e-07
