"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NAA20",3.51231620436955e-07,-0.592987229646731,0.111,0.26,0.012855428539613
"MRPL33",3.5218382173698e-07,-0.645991906053775,0.158,0.324,0.0128902800593952
"TIMMDC1",3.57563677672073e-07,-0.635912019019061,0.058,0.176,0.0130871881664756
"AURKAIP1",3.57716316054691e-07,-0.410670062779452,0.199,0.394,0.0130927748839178
"RPL37A",3.59174448122915e-07,-0.246470578756881,0.842,0.955,0.0131461439757468
"FAM133B",3.63739828314963e-07,-0.858089414903839,0.053,0.167,0.013313241456156
"KMT5A",3.64181398830051e-07,-2.03012535463101,0.026,0.115,0.0133294033785787
"RPP30",3.68952482749534e-07,-1.14517196525863,0.03,0.125,0.0135040298211157
"DNAJA1",3.71325973738543e-07,-0.6461118760893,0.216,0.401,0.0135909019648044
"PEBP1",3.75602224219347e-07,-0.537518894658355,0.395,0.587,0.0137474170086523
"FAM229B",3.76331698144336e-07,-1.68077240681913,0.026,0.115,0.0137741164837808
"UQCRH",3.80361550425314e-07,-0.472191508776666,0.359,0.577,0.0139216131071169
"MT-CO3",3.87240511791125e-07,1.56439413502411,0.962,0.981,0.014173389972067
"ANXA8",3.98542230354828e-07,-1.42736775609675,0.026,0.115,0.0145870441732171
"CYC1",4.00497580982811e-07,-0.739969757859904,0.137,0.295,0.0146586119615519
"PGP",4.04491268933305e-07,-0.845932773342038,0.073,0.199,0.0148047849342279
"DIMT1",4.07197737611761e-07,-0.802461995704071,0.041,0.144,0.0149038443943281
"PXMP2",4.09060923878144e-07,-0.747779124535735,0.043,0.147,0.0149720388748639
"SDHB",4.12739205582839e-07,-0.459032344960209,0.103,0.247,0.0151066676635375
"BAD",4.16404613870056e-07,-0.700808153660372,0.06,0.179,0.0152408252722579
"HSF1",4.33379263716958e-07,-1.50196007697253,0.036,0.135,0.0158621144313044
"EIF2A",4.39973897130204e-07,-0.403555885723646,0.103,0.247,0.0161034846088626
"RSL24D1",4.47954578068067e-07,-0.426017047807068,0.147,0.311,0.0163955855118693
"PFDN6",4.51374684996743e-07,-0.972371021165384,0.056,0.17,0.0165207648455658
"UBE2S",4.51402611551851e-07,-0.887354017845507,0.058,0.173,0.0165217869854093
"DDAH2",4.52340723260446e-07,-0.61073216413553,0.064,0.186,0.0165561228120556
"POLE3",4.53250099807474e-07,-0.985181202614946,0.041,0.144,0.0165894069030534
"GLRX5",4.59493182054684e-07,-0.514023471816035,0.083,0.218,0.0168179099563835
"PSMB2",4.69647413561467e-07,-0.49093274174835,0.177,0.359,0.0171895649837633
"NUMB",4.74868487499827e-07,-1.05021194325735,0.06,0.176,0.0173806615109812
"ACAA2",4.74961863849509e-07,-0.662346691377706,0.22,0.401,0.0173840791787559
"BOLA2",4.78616811629053e-07,-0.73838469736475,0.045,0.151,0.017517853922435
"ANXA3",4.96003179594617e-07,-0.779228404484279,0.118,0.269,0.0181542123763426
"EIF3E",4.9624590933238e-07,-0.477922451089714,0.293,0.51,0.0181630965274744
"MRPL44",4.98241542072932e-07,-1.18568954099037,0.034,0.131,0.0182361386814114
"NAXE",5.00458260468233e-07,-0.643490887994415,0.071,0.196,0.0183172727913978
"SOX4",5.05289531939777e-07,-0.673625171490679,0.201,0.378,0.0184941021585278
"UFD1",5.06239586686748e-07,-0.721439887663361,0.1,0.24,0.0185288751123217
"IP6K2",5.07589332488804e-07,-1.22115239740323,0.045,0.151,0.0185782771584227
"MED8",5.08471820332566e-07,-0.669846678239182,0.053,0.167,0.0186105770959923
"OSER1",5.12901568844058e-07,-0.839425828519254,0.021,0.106,0.0187727103212614
"SPINK1",5.17923930324377e-07,-1.21664580169205,0.147,0.295,0.0189565337738025
"LSM6",5.20558538003775e-07,-1.97323326214635,0.03,0.122,0.0190529630494762
"SDF2L1",5.27347373404398e-07,-0.586351565731551,0.068,0.192,0.0193014412139744
"MRPL40",5.27635241245329e-07,-0.663778147190441,0.085,0.218,0.0193119774648203
"RPL36A",5.41472616453903e-07,-0.214754807115786,0.592,0.808,0.0198184392348293
