"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"CHFR",2.95186351452786e-15,-0.746103878659975,0.677,0.873,1.08041156495234e-10,"Up_in_2D"
"AC092069.1",3.05160227920225e-15,2.06279604468842,0.612,0.462,1.11691695021082e-10,"Up_in_3D"
"NUP160",3.10921790505549e-15,-0.771985722080025,0.566,0.796,1.13800484542936e-10,"Up_in_2D"
"OSBPL8",3.1115958946355e-15,-0.511560699506796,0.881,0.964,1.13887521339554e-10,"Up_in_2D"
"MT1G",3.14861431586977e-15,1.87172409697977,0.566,0.342,1.15242432575149e-10,"Up_in_3D"
"TMEM181",3.23349560606297e-15,-0.567782618304325,0.789,0.902,1.18349172677511e-10,"Up_in_2D"
"MAP3K13",3.30772739713939e-15,-0.988029387857395,0.817,0.895,1.21066130462699e-10,"Up_in_2D"
"PTPRA",3.36396239433237e-15,-0.647509996905666,0.87,0.942,1.23124387594959e-10,"Up_in_2D"
"PTGIS",3.37400289477277e-15,-1.3112096105892,0.361,0.604,1.23491879951578e-10,"Up_in_2D"
"MAK",3.44375806485599e-15,-2.02095898009569,0.24,0.487,1.26044988931794e-10,"Up_in_2D"
"ORC5",3.52808960974812e-15,-0.851545846528803,0.453,0.709,1.29131607806391e-10,"Up_in_2D"
"OSMR-AS1",3.52878029592114e-15,-0.960963919090393,0.532,0.745,1.2915688761101e-10,"Up_in_2D"
"SPDYE21P",3.64668708055347e-15,-1.94481259280434,0.131,0.364,1.33472393835338e-10,"Up_in_2D"
"CYSTM1",3.68981875601311e-15,-0.585636867085948,0.87,0.942,1.35051056288836e-10,"Up_in_2D"
"EBLN2",3.73007879192519e-15,-1.4102950667793,0.063,0.251,1.36524613863254e-10,"Up_in_2D"
"AC139149.1",3.88762672671452e-15,-1.9979942209977,0.062,0.244,1.42291025824478e-10,"Up_in_2D"
"PIAS1",3.93798496850439e-15,-1.05375934080515,0.774,0.898,1.44134187832229e-10,"Up_in_2D"
"G3BP1",4.05882033626846e-15,-0.431357836739814,0.864,0.924,1.48556883127762e-10,"Up_in_2D"
"MRPL52",4.12771897311272e-15,0.570643758335267,0.913,0.84,1.51078642134899e-10,"Up_in_3D"
"UBE2F",4.13472043519346e-15,-0.719162994101086,0.804,0.905,1.51334902648516e-10,"Up_in_2D"
"WDR78",4.153086128978e-15,-1.71830609406685,0.292,0.538,1.52007105406724e-10,"Up_in_2D"
"TBC1D2B",4.28411651793162e-15,-0.803949084148105,0.689,0.869,1.56802948672815e-10,"Up_in_2D"
"ZNF665",4.46652100645398e-15,-1.21919956268213,0.091,0.295,1.63479135357222e-10,"Up_in_2D"
"CD2AP",4.47851546833578e-15,-0.945515648587313,0.765,0.927,1.63918144656558e-10,"Up_in_2D"
"TXNIP",4.57425068569518e-15,-1.19379735035817,0.6,0.782,1.67422149347129e-10,"Up_in_2D"
"EML2",4.59393020156071e-15,-1.2591553148296,0.372,0.629,1.68142439307323e-10,"Up_in_2D"
"ITIH3",4.63379632362439e-15,-1.50433209384557,0.125,0.353,1.69601579240976e-10,"Up_in_2D"
"SLC44A2",4.7948749618277e-15,-1.02591999904692,0.476,0.709,1.75497218477856e-10,"Up_in_2D"
"OTUD4",4.83737693996447e-15,-1.06175764933415,0.566,0.815,1.77052833379639e-10,"Up_in_2D"
"REEP3",4.85188168846702e-15,-0.448691717480204,0.875,0.942,1.77583721679582e-10,"Up_in_2D"
"MED15",4.89991521922436e-15,-0.720287680387385,0.69,0.873,1.79341796938831e-10,"Up_in_2D"
"PTGER2",5.00379984358389e-15,2.16236136180742,0.401,0.167,1.83144078075014e-10,"Up_in_3D"
"CXCL2",5.08037996155985e-15,1.96114212524844,0.541,0.298,1.85946986973052e-10,"Up_in_3D"
"C2CD3",5.09170391103649e-15,-2.09303907096594,0.363,0.596,1.86361454847847e-10,"Up_in_2D"
"ZNF721",5.2876543503241e-15,-0.931577096564548,0.764,0.88,1.93533436876212e-10,"Up_in_2D"
"AC022217.2",5.45806285766325e-15,3.99901976151709,0.193,0,1.99770558653333e-10,"Up_in_3D"
"PIGN",5.45812188849425e-15,-1.0639394904009,0.596,0.811,1.99772719240778e-10,"Up_in_2D"
"NMT2",5.48233816130851e-15,-1.04562707771115,0.668,0.825,2.00659059042053e-10,"Up_in_2D"
"SCD5",5.53276335096898e-15,-1.99187735835257,0.451,0.702,2.02504671408816e-10,"Up_in_2D"
"EML4",5.53839912533934e-15,-0.706090431254837,0.804,0.913,2.02710946386545e-10,"Up_in_2D"
"NT5DC2",5.89156018944327e-15,0.776873712964834,0.87,0.771,2.15636994493813e-10,"Up_in_3D"
"CDV3",5.93724767701543e-15,-0.570793345766558,0.901,0.913,2.17309202226442e-10,"Up_in_2D"
"LGALS3",5.95747770200036e-15,0.668899004609907,0.919,0.884,2.18049641370915e-10,"Up_in_3D"
"TCF20",6.1525550130884e-15,-1.04404378978218,0.485,0.738,2.25189666034049e-10,"Up_in_2D"
"SNRPB2",6.22778040933361e-15,0.47879741073849,0.901,0.836,2.27942990762019e-10,"Up_in_3D"
"TMEM63A",6.25393984409061e-15,-1.35264724298641,0.345,0.607,2.2890045223356e-10,"Up_in_2D"
"POSTN",6.40203175616964e-15,0.908322601059771,0.76,0.542,2.34320764307565e-10,"Up_in_3D"
"ZNF107",6.42836289985088e-15,-1.36970682588324,0.317,0.622,2.35284510497442e-10,"Up_in_2D"
"AL139294.1",6.46940445065442e-15,-4.91691909194646,0.013,0.131,2.36786672298402e-10,"Up_in_2D"
"STX6",6.5620112177392e-15,-1.00588372968035,0.527,0.771,2.40176172580472e-10,"Up_in_2D"
"MAP2K2",6.7294038324148e-15,0.485665770851474,0.922,0.869,2.46302909670214e-10,"Up_in_3D"
"ARHGEF37",6.82068480968593e-15,-1.68680759530368,0.063,0.24,2.49643884719315e-10,"Up_in_2D"
"ETV6",6.98136694525779e-15,-1.11366570186308,0.816,0.913,2.5552501156338e-10,"Up_in_2D"
"TRERF1",7.00255630173535e-15,-1.20213001333632,0.431,0.673,2.56300563199816e-10,"Up_in_2D"
"SPG11",7.01623373078771e-15,-0.926019268241431,0.714,0.876,2.56801170780561e-10,"Up_in_2D"
"SMURF1",7.20287867770376e-15,-1.0127862718049,0.755,0.898,2.63632562482635e-10,"Up_in_2D"
"KIAA0232",7.20325450923541e-15,-0.950899265922267,0.77,0.913,2.63646318292525e-10,"Up_in_2D"
"FLNA",7.23528324129923e-15,-0.667958805700323,0.95,0.935,2.64818601914793e-10,"Up_in_2D"
"INTS4",7.37608834755337e-15,-1.18137674827784,0.413,0.676,2.69972209608801e-10,"Up_in_2D"
"ARF4",7.41042360750757e-15,0.404305088241061,0.957,0.953,2.71228914458384e-10,"Up_in_3D"
"AP2B1",7.5855473981023e-15,-0.544409122754452,0.876,0.931,2.77638620317942e-10,"Up_in_2D"
"VPS45",7.61785357285874e-15,-1.07993089943254,0.59,0.778,2.78821058620203e-10,"Up_in_2D"
"CXCL8",7.62889094553336e-15,1.73393438695514,0.636,0.429,2.79225037497466e-10,"Up_in_3D"
"BACE2",7.87634036462183e-15,-1.71144082641627,0.659,0.84,2.88281933685523e-10,"Up_in_2D"
"TENT5A",7.8903767062012e-15,1.1815174628482,0.689,0.513,2.8879567782367e-10,"Up_in_3D"
"PIEZO1",7.99508003106926e-15,-0.49583955038839,0.676,0.869,2.92627924217166e-10,"Up_in_2D"
"WIPF2",8.04462991822523e-15,-0.868027126059062,0.628,0.847,2.94441499636962e-10,"Up_in_2D"
"STAT5B",8.09688620937894e-15,-1.15512746160086,0.569,0.811,2.96354132149479e-10,"Up_in_2D"
"SLC7A6",8.13816203899462e-15,-0.613075562583553,0.627,0.811,2.97864868789242e-10,"Up_in_2D"
"SLC7A2",8.19284481538538e-15,1.94725238107123,0.745,0.716,2.9986631308792e-10,"Up_in_3D"
"ACVR1B",8.23451537847511e-15,-1.04735449444726,0.372,0.655,3.01391497367567e-10,"Up_in_2D"
"DENND6B",8.35457509198383e-15,-1.38773215478681,0.14,0.371,3.057858029417e-10,"Up_in_2D"
"RHPN2",8.41719252987759e-15,-2.13135037700708,0.142,0.364,3.0807766378605e-10,"Up_in_2D"
"TSPAN9",8.62729156681839e-15,-0.761199411839905,0.605,0.818,3.1576749863712e-10,"Up_in_2D"
"ITPR1",8.68821742634204e-15,-1.27042643263713,0.383,0.647,3.17997446021545e-10,"Up_in_2D"
"SPHK1",8.72075743791407e-15,0.845230614947875,0.832,0.731,3.19188442985093e-10,"Up_in_3D"
"AMZ1",8.72682524413138e-15,-1.42179788876294,0.257,0.524,3.19410530760453e-10,"Up_in_2D"
"XPO6",8.90988400765611e-15,-0.891581269556158,0.701,0.869,3.26110664564221e-10,"Up_in_2D"
"CCL13",8.92862971020601e-15,-3.42913852000042,0.018,0.142,3.2679677602325e-10,"Up_in_2D"
"MAPKAPK5",9.10557410612405e-15,-1.11719545745755,0.534,0.771,3.33273117858246e-10,"Up_in_2D"
"FGF7",9.20371154515745e-15,-2.12831114517349,0.335,0.56,3.36865046264308e-10,"Up_in_2D"
"AC023282.1",9.27351015771443e-15,1.86624059173887,0.388,0.138,3.39419745282506e-10,"Up_in_3D"
