"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"PTGES3",1.22681134405801e-06,0.393895980042943,0.442,0.244,0.0449025220038672,"Up_in_3D"
"PON2",1.23535674106635e-06,0.605284957138781,0.346,0.179,0.0452152920797694,"Up_in_3D"
"VAMP5",1.24662669517443e-06,0.5013068482026,0.256,0.113,0.0456277836700793,"Up_in_3D"
"FNTA",1.24741225744084e-06,0.727980225176935,0.183,0.066,0.0456565360345924,"Up_in_3D"
"COA5",1.24973053242248e-06,0.765269639685349,0.135,0.038,0.0457413872171952,"Up_in_3D"
"EPC1",1.25743028585952e-06,1.22158954332603,0.122,0.032,0.0460232058927445,"Up_in_3D"
"MRPL52",1.27723104654872e-06,0.369276232043849,0.41,0.22,0.0467479335347298,"Up_in_3D"
"EXOSC1",1.28610154086703e-06,0.904344299695063,0.16,0.053,0.0470726024972742,"Up_in_3D"
"MRPL22",1.30517985734309e-06,0.850821804317195,0.202,0.079,0.0477708879586143,"Up_in_3D"
"EIF3F",1.31399636398309e-06,0.379580094495858,0.417,0.22,0.0480935809181451,"Up_in_3D"
"VAMP3",1.32811971098586e-06,0.451957142066291,0.212,0.083,0.0486105095417934,"Up_in_3D"
"BDH2",1.34626288986998e-06,0.877723870809065,0.141,0.043,0.049274568032131,"Up_in_3D"
"AHSA1",1.36135430489647e-06,0.788210440004383,0.199,0.077,0.0498269289135156,"Up_in_3D"
